subject,code,noteOctave,note,sd
s11,AC12,G4,G,1
s13,AC12,F#3,F#,12
s15,AC12,G3,G,1
s18,AC12,G4,G,1
s20,AC12,C#4,C#,7
s22,AC12,G#3,G#,2
s24,AC12,G4,G,1
s28,AC12,G4,G,1
s30,AC12,D4,D,8
s32,AC12,D4,D,8
s34,AC12,D4,D,8
s36,AC12,G3,G,1
s38,AC12,D4,D,8
s40,AC12,B3,B,5
s43,AC12,F3,F,11
s46,AC12,D3,D,8
s48,AC12,D3,D,8
s50,AC12,B4,B,5
s52,AC12,B3,B,5
s54,AC12,B4,B,5
s2,AC13,D4,D,1
s4,AC13,D3,D,1
s6,AC13,D4,D,1
s8,AC13,D4,D,1
s10,AC13,D4,D,1
s12,AC13,D3,D,1
s16,AC13,D3,D,1
s21,AC13,D3,D,1
s23,AC13,D3,D,1
s25,AC13,D4,D,1
s27,AC13,D3,D,1
s29,AC13,D4,D,1
s31,AC13,D4,D,1
s33,AC13,D3,D,1
s35,AC13,D4,D,1
s37,AC13,D3,D,1
s41,AC13,D4,D,1
s42,AC13,D4,D,1
s44,AC13,E4,E,3
s47,AC13,D4,D,1
s49,AC13,D4,D,1
s51,AC13,D4,D,1
s53,AC13,D3,D,1
s56,AC13,D3,D,1
s58,AC13,A3,A,8
s1,AC14,A4,A,1
s3,AC14,A3,A,1
s5,AC14,A3,A,1
s7,AC14,A3,A,1
s9,AC14,A4,A,1
s11,AC14,A4,A,1
s13,AC14,A3,A,1
s15,AC14,A3,A,1
s18,AC14,F#4,F#,10
s20,AC14,E4,E,8
s22,AC14,A4,A,1
s24,AC14,A4,A,1
s28,AC14,A4,A,1
s30,AC14,A4,A,1
s32,AC14,A4,A,1
s34,AC14,E4,E,8
s36,AC14,A3,A,1
s38,AC14,A4,A,1
s40,AC14,A4,A,1
s43,AC14,C4,C,4
s46,AC14,A3,A,1
s48,AC14,A3,A,1
s50,AC14,G#4,G#,12
s52,AC14,F#4,F#,10
s54,AC14,A4,A,1
s2,AC15,E4,E,1
s4,AC15,E3,E,1
s6,AC15,E4,E,1
s8,AC15,E4,E,1
s10,AC15,E4,E,1
s12,AC15,E3,E,1
s16,AC15,E3,E,1
s21,AC15,G#3,G#,5
s23,AC15,E3,E,1
s25,AC15,E4,E,1
s27,AC15,F3,F,2
s29,AC15,B3,B,8
s31,AC15,B3,B,8
s33,AC15,D#3,D#,12
s35,AC15,E4,E,1
s37,AC15,B2,B,8
s41,AC15,E4,E,1
s42,AC15,B3,B,8
s44,AC15,G#4,G#,5
s47,AC15,G#4,G#,5
s49,AC15,E4,E,1
s51,AC15,E4,E,1
s53,AC15,E3,E,1
s56,AC15,E3,E,1
s58,AC15,G#3,G#,5
s1,AC16,B4,B,1
s3,AC16,B2,B,1
s5,AC16,B2,B,1
s7,AC16,B2,B,1
s9,AC16,B3,B,1
s11,AC16,G#4,G#,10
s13,AC16,B3,B,1
s15,AC16,B2,B,1
s18,AC16,B3,B,1
s20,AC16,B4,B,1
