subject,code,noteOctave,note,sd
s16,AC34,C3,C,1
s21,AC34,C3,C,1
s23,AC34,C4,C,1
s25,AC34,C4,C,1
s27,AC34,C3,C,1
s29,AC34,C4,C,1
s31,AC34,C4,C,1
s33,AC34,C3,C,1
s35,AC34,C4,C,1
s37,AC34,C3,C,1
s41,AC34,C4,C,1
s42,AC34,C4,C,1
s44,AC34,C4,C,1
s47,AC34,C4,C,1
s49,AC34,C4,C,1
s51,AC34,C4,C,1
s53,AC34,C3,C,1
s56,AC34,C#3,C#,2
s58,AC34,C#3,C#,2
s2,AC35,G4,G,1
s4,AC35,G3,G,1
s6,AC35,G4,G,1
s8,AC35,F#4,F#,12
s10,AC35,G4,G,1
s12,AC35,G3,G,1
s16,AC35,G3,G,1
s21,AC35,G2,G,1
s23,AC35,G3,G,1
s25,AC35,G4,G,1
s27,AC35,G3,G,1
s29,AC35,G4,G,1
s31,AC35,G4,G,1
s33,AC35,G3,G,1
s35,AC35,G4,G,1
s37,AC35,G3,G,1
s41,AC35,G4,G,1
s42,AC35,G4,G,1
s44,AC35,G4,G,1
s47,AC35,A4,A,3
s49,AC35,G4,G,1
s51,AC35,G4,G,1
s53,AC35,G3,G,1
s56,AC35,F#3,F#,12
s58,AC35,A3,A,3
s1,AC36,D#4,D#,2
s3,AC36,D3,D,1
s5,AC36,A2,A,8
s7,AC36,D3,D,1
s9,AC36,D4,D,1
s11,AC36,D4,D,1
s13,AC36,G3,G,6
s15,AC36,D3,D,1
s18,AC36,D4,D,1
s20,AC36,D4,D,1
s22,AC36,F#4,F#,5
s24,AC36,F#4,F#,5
s28,AC36,F#4,F#,5
s30,AC36,D4,D,1
s32,AC36,F#4,F#,5
s34,AC36,D4,D,1
s36,AC36,F#3,F#,5
s38,AC36,D4,D,1
s40,AC36,F#4,F#,5
s43,AC36,F#3,F#,5
s46,AC36,D3,D,1
s48,AC36,D3,D,1
s50,AC36,F#4,F#,5
s52,AC36,D4,D,1
s54,AC36,G4,G,6
s2,AC37,F4,F,9
s4,AC37,A3,A,1
s6,AC37,C4,C,4
s8,AC37,F4,F,9
s10,AC37,A4,A,1
s12,AC37,A3,A,1
s16,AC37,A3,A,1
s21,AC37,A2,A,1
s23,AC37,A3,A,1
s25,AC37,A4,A,1
s27,AC37,A3,A,1
s29,AC37,A4,A,1
s31,AC37,E4,E,8
s33,AC37,A2,A,1
s35,AC37,A4,A,1
s37,AC37,A2,A,1
s41,AC37,A4,A,1
s42,AC37,F#4,F#,10
s44,AC37,A4,A,1
s47,AC37,A4,A,1
s49,AC37,A4,A,1
s51,AC37,A4,A,1
s53,AC37,A3,A,1
s56,AC37,G#3,G#,12
s58,AC37,F3,F,9
s1,AC38,G#4,G#,5
s3,AC38,G#3,G#,5
s5,AC38,E3,E,1
s7,AC38,E3,E,1
s9,AC38,E4,E,1
s11,AC38,G#4,G#,5
s13,AC38,G#3,G#,5
s15,AC38,E3,E,1
s18,AC38,E4,E,1
s20,AC38,E4,E,1
s22,AC38,E4,E,1
s24,AC38,E4,E,1
s28,AC38,E4,E,1
s30,AC38,E4,E,1
s32,AC38,E4,E,1
s34,AC38,E4,E,1
s36,AC38,E3,E,1
s38,AC38,E4,E,1
s40,AC38,G#4,G#,5
s43,AC38,G#3,G#,5
s46,AC38,E3,E,1
s48,AC38,E3,E,1
s50,AC38,G#4,G#,5
s52,AC38,F#4,F#,3
s54,AC38,E4,E,1
s1,AC39,B3,B,1
s3,AC39,C#3,C#,3
s5,AC39,B2,B,1
s7,AC39,B2,B,1
s9,AC39,B3,B,1
s11,AC39,B3,B,1
s13,AC39,B2,B,1
s15,AC39,B2,B,1
s18,AC39,G#3,G#,10
s20,AC39,B3,B,1
s22,AC39,C4,C,2
s24,AC39,B3,B,1
s28,AC39,B3,B,1
s30,AC39,B3,B,1
s32,AC39,B3,B,1
s34,AC39,B3,B,1
s36,AC39,B2,B,1
s38,AC39,G#3,G#,10
s40,AC39,C#4,C#,3
s43,AC39,B2,B,1
s46,AC39,F#3,F#,8
s48,AC39,F3,F,7
s50,AC39,G#3,G#,10
s52,AC39,B3,B,1
s54,AC39,B3,B,1
s2,AC40,A4,A,4
s4,AC40,F#3,F#,1
s6,AC40,F#4,F#,1
s8,AC40,F#4,F#,1
s10,AC40,F#4,F#,1
s12,AC40,G#3,G#,3
s16,AC40,F#3,F#,1
s21,AC40,F#3,F#,1
s23,AC40,F#3,F#,1
s25,AC40,F#4,F#,1
s27,AC40,F#3,F#,1
s29,AC40,F#4,F#,1
s31,AC40,F#4,F#,1
s33,AC40,F#3,F#,1
s35,AC40,F#4,F#,1
s37,AC40,F#3,F#,1
s41,AC40,F#4,F#,1
s42,AC40,F4,F,12
s44,AC40,F#4,F#,1
s47,AC40,F#4,F#,1
s49,AC40,F#4,F#,1
s51,AC40,F#4,F#,1
s53,AC40,F#3,F#,1
s56,AC40,F#3,F#,1
s58,AC40,A#3,A#,5
s1,AC41,C4,C,12
s3,AC41,A#3,A#,10
s5,AC41,F#3,F#,6
s7,AC41,C#3,C#,1
s9,AC41,C#4,C#,1
s11,AC41,F4,F,5
s13,AC41,F3,F,5
s15,AC41,C#3,C#,1
s18,AC41,G#4,G#,8
s20,AC41,D4,D,2
s22,AC41,D#4,D#,3
s24,AC41,A#4,A#,10
s28,AC41,C#4,C#,1
s30,AC41,F#4,F#,6
s32,AC41,F4,F,5
s34,AC41,C#4,C#,1
s36,AC41,F3,F,5
s38,AC41,C#4,C#,1
s40,AC41,F#4,F#,6
s43,AC41,C#3,C#,1
s46,AC41,C#3,C#,1
s48,AC41,F#3,F#,6
s50,AC41,C4,C,12
s52,AC41,F#4,F#,6
s54,AC41,C#4,C#,1
s1,AC42,G4,G,12
s3,AC42,G#3,G#,1
s5,AC42,G#3,G#,1
s7,AC42,G#3,G#,1
s9,AC42,G#4,G#,1
s11,AC42,G4,G,12
s13,AC42,G#3,G#,1
s15,AC42,G#3,G#,1
s18,AC42,G#4,G#,1
s20,AC42,G4,G,12
s22,AC42,A4,A,2
s24,AC42,G#4,G#,1
s28,AC42,G#4,G#,1
s30,AC42,G#4,G#,1
s32,AC42,G#4,G#,1
s34,AC42,G#4,G#,1
s36,AC42,G#3,G#,1
s38,AC42,G#4,G#,1
s40,AC42,G#4,G#,1
s43,AC42,G#3,G#,1
s46,AC42,G3,G,12
s48,AC42,C4,C,5
s50,AC42,G#4,G#,1
s52,AC42,G4,G,12
s54,AC42,G#4,G#,1
s1,AC43,G#4,G#,6
s3,AC43,D#3,D#,1
s5,AC43,G#3,G#,6
s7,AC43,G3,G,5
s9,AC43,D#4,D#,1
s11,AC43,G4,G,5
s13,AC43,D#3,D#,1
s15,AC43,D#3,D#,1
s18,AC43,A#4,A#,8
s20,AC43,A#3,A#,8
s22,AC43,E3,E,2
s24,AC43,D#4,D#,1
s28,AC43,D#4,D#,1
s30,AC43,G4,G,5
s32,AC43,D#4,D#,1
s34,AC43,D#4,D#,1
s36,AC43,G#3,G#,6
s38,AC43,D#4,D#,1
s40,AC43,D#4,D#,1
s43,AC43,B3,B,9
s46,AC43,D#3,D#,1
s48,AC43,D#4,D#,1
s50,AC43,D#4,D#,1
s52,AC43,D#4,D#,1
s54,AC43,G4,G,5
s1,AC44,A#3,A#,1
s3,AC44,A#2,A#,1
s5,AC44,A#2,A#,1
s7,AC44,A#2,A#,1
s9,AC44,A#3,A#,1
s11,AC44,A#3,A#,1
s13,AC44,A#2,A#,1
s15,AC44,A#2,A#,1
s18,AC44,F3,F,8
s20,AC44,C4,C,3
s22,AC44,A#3,A#,1
s24,AC44,A#3,A#,1
s28,AC44,A#3,A#,1
s30,AC44,A#3,A#,1
s32,AC44,F3,F,8
s34,AC44,A#3,A#,1
s36,AC44,F2,F,8
s38,AC44,A#3,A#,1
s40,AC44,D4,D,5
s43,AC44,A#2,A#,1
s46,AC44,A#2,A#,1
s48,AC44,A#2,A#,1
s50,AC44,G#3,G#,11
s52,AC44,A#3,A#,1
s54,AC44,A#3,A#,1
s2,AC45,C4,C,8
s4,AC45,F3,F,1
s6,AC45,F4,F,1
s8,AC45,F4,F,1
s10,AC45,F4,F,1
s12,AC45,F3,F,1
s16,AC45,F3,F,1
s21,AC45,F#2,F#,2
s23,AC45,F3,F,1
s25,AC45,F4,F,1
s27,AC45,F3,F,1
s29,AC45,F4,F,1
s31,AC45,F4,F,1
s33,AC45,F3,F,1
s35,AC45,F4,F,1
s37,AC45,F3,F,1
s41,AC45,F4,F,1
s42,AC45,F4,F,1
s44,AC45,F4,F,1
s47,AC45,F4,F,1
s49,AC45,F4,F,1
s51,AC45,F4,F,1
s53,AC45,F3,F,1
s56,AC45,F3,F,1
s58,AC45,D3,D,10
s2,AC03,E4,E,1
s6,AC03,E4,E,1
s8,AC03,E4,E,1
s10,AC03,E4,E,1
s25,AC03,E4,E,1
s29,AC03,A4,A,6
s31,AC03,E4,E,1
s35,AC03,E4,E,1
s41,AC03,E4,E,1
s42,AC03,B3,B,8
s44,AC03,C#4,C#,10
s47,AC03,B3,B,8
s49,AC03,E4,E,1
s51,AC03,E4,E,1
s4,AC03,E3,E,1
s12,AC03,E3,E,1
s16,AC03,E3,E,1
s21,AC03,B3,B,8
s23,AC03,E3,E,1
s27,AC03,E3,E,1
s33,AC03,B3,B,8
s37,AC03,E3,E,1
s53,AC03,E3,E,1
s56,AC03,A3,A,6
s58,AC03,C#3,C#,10
s1,AC04,D4,D,4
s9,AC04,B3,B,1
s11,AC04,G#4,G#,10
s18,AC04,B3,B,1
s20,AC04,F#3,F#,8
s22,AC04,F#4,F#,8
s24,AC04,D4,D,4
s28,AC04,B3,B,1
s30,AC04,B3,B,1
s32,AC04,B3,B,1
s34,AC04,B3,B,1
s38,AC04,F#4,F#,8
s40,AC04,D#4,D#,5
s50,AC04,F#4,F#,8
s52,AC04,F#4,F#,8
s54,AC04,E4,E,6
s3,AC04,F#3,F#,8
s5,AC04,B2,B,1
s7,AC04,D#3,D#,5
s13,AC04,B2,B,1
s15,AC04,B2,B,1
s36,AC04,B2,B,1
s43,AC04,E3,E,6
s46,AC04,B2,B,1
s48,AC04,B2,B,1
s2,AC05,F#4,F#,1
s6,AC05,F#4,F#,1
s8,AC05,F#4,F#,1
s10,AC05,F#4,F#,1
s25,AC05,F#4,F#,1
s29,AC05,F#4,F#,1
s31,AC05,F#4,F#,1
s35,AC05,F#4,F#,1
s41,AC05,F#4,F#,1
s42,AC05,F#4,F#,1
s44,AC05,F#4,F#,1
s47,AC05,F#4,F#,1
s49,AC05,F#4,F#,1
s51,AC05,F#4,F#,1
s4,AC05,F#3,F#,1
s12,AC05,F#3,F#,1
s16,AC05,F#3,F#,1
s21,AC05,F#3,F#,1
s23,AC05,F#3,F#,1
s27,AC05,F#3,F#,1
s33,AC05,F#3,F#,1
s37,AC05,F#3,F#,1
s53,AC05,F#3,F#,1
s56,AC05,F#3,F#,1
s58,AC05,F#3,F#,1
s2,AC06,G#4,G#,8
s6,AC06,C#4,C#,1
s8,AC06,F4,F,5
s10,AC06,C#4,C#,1
s25,AC06,G#4,G#,8
s29,AC06,G#4,G#,8
s31,AC06,C#4,C#,1
s35,AC06,G#4,G#,8
s41,AC06,F4,F,5
s42,AC06,A#4,A#,10
s44,AC06,F#4,F#,6
s47,AC06,A#4,A#,10
s49,AC06,C#4,C#,1
s51,AC06,C#4,C#,1
s4,AC06,C#3,C#,1
s12,AC06,F#3,F#,6
s16,AC06,G#3,G#,8
s21,AC06,C#3,C#,1
s23,AC06,G#3,G#,8
s27,AC06,C#3,C#,1
s33,AC06,C#3,C#,1
s37,AC06,F3,F,5
s53,AC06,F#3,F#,6
s56,AC06,G#2,G#,8
s58,AC06,F#3,F#,6
s2,AC07,G#4,G#,1
s42,AC07,A#4,A#,3
s31,AC07,C#4,C#,6
s44,AC07,C#4,C#,6
s25,AC07,D#4,D#,8
s35,AC07,D#4,D#,8
s41,AC07,D#4,D#,8
s47,AC07,D#4,D#,8
s6,AC07,G#4,G#,1
s8,AC07,G#4,G#,1
s10,AC07,G#4,G#,1
s29,AC07,G#4,G#,1
s49,AC07,G#4,G#,1
s51,AC07,G4,G,12
s16,AC07,A#3,A#,3
s12,AC07,C3,C,5
s58,AC07,C4,C,5
s4,AC07,D#3,D#,8
s56,AC07,G#2,G#,1
s21,AC07,G#3,G#,1
s23,AC07,G#3,G#,1
s27,AC07,G#3,G#,1
s33,AC07,G#3,G#,1
s53,AC07,G#3,G#,1
s37,AC07,nan,nan,FALSE
